Held_out_formulation,N_test,R2,MAE,RMSE,Spearman,Target,Target_column,Feature_set,Model
4ALG6HA,5,0.42797142488011675,0.5325929396720742,0.7757451933676525,0.9999999999999999,Qm,Qm_mean_mg_s,engineered,SVR_RBF
4ALG8HA,5,0.8574586847195477,0.08665460966064494,0.11385954411069135,0.9999999999999999,Qm,Qm_mean_mg_s,engineered,SVR_RBF
6ALG2HA,5,-7.736231231457332,0.6399600906108864,0.6656257337679405,0.9999999999999999,Qm,Qm_mean_mg_s,engineered,SVR_RBF
6ALG4HA,5,-18.064519549653703,0.9840389225910917,0.9925483285469366,0.8999999999999998,Qm,Qm_mean_mg_s,engineered,SVR_RBF
6ALG6HA,5,-22.825870454793435,0.6943145515302477,0.6995961999765574,0.9999999999999999,Qm,Qm_mean_mg_s,engineered,SVR_RBF
1ALG8HA,5,-1.1219381156774442,0.5004319214285711,0.5764694855812779,0.9746794344808964,Qm,Qm_mean_mg_s,engineered,RandomForest
2ALG8HA,5,-0.28448918035640314,0.41271297513227545,0.47137864109445743,0.9999999999999999,Qm,Qm_mean_mg_s,engineered,RandomForest
4ALG4HA,5,-1.415603614223801,1.052521295502645,1.2079427353340864,0.9999999999999999,Qm,Qm_mean_mg_s,engineered,RandomForest
4ALG6HA,5,-0.2256898819549531,0.8069248658730157,1.135535018266218,0.8999999999999998,Qm,Qm_mean_mg_s,engineered,RandomForest
4ALG8HA,5,-2.5369047945675893,0.5509845523809522,0.5671667264899445,0.9999999999999999,Qm,Qm_mean_mg_s,engineered,RandomForest
6ALG2HA,5,-19.411762726977816,1.013809598412698,1.0174388090829691,0.9999999999999999,Qm,Qm_mean_mg_s,engineered,RandomForest
6ALG4HA,5,-6.632526053785438,0.6226062365079362,0.6280191367466307,0.8999999999999998,Qm,Qm_mean_mg_s,engineered,RandomForest
6ALG6HA,5,-79.25166389409544,1.2759766470899474,1.2839558092001184,-0.051298917604257706,Qm,Qm_mean_mg_s,engineered,RandomForest
1ALG8HA,5,0.13051146383559664,0.2735614544107067,0.36901319592512277,0.8999999999999998,Qm,Qm_mean_mg_s,engineered,GradientBoosting
