Target,Model,Feature_set,Feature,Importance_mean_RMSE_increase,Importance_std,Abs_importance_mean,Mean_abs_SHAP,Mean_SHAP,Std_abs_SHAP,Permutation_positive,Permutation_norm,SHAP_norm,Permutation_rank,SHAP_rank,Rank_difference,Consensus_score
SR,SVR_RBF,rheology_enhanced,HA_x_P,0.014818601840662733,0.014762324388503705,0.014818601840662733,0.02355271706832899,0.0009873623070935503,0.01653689813613575,0.014818601840662733,0.04381842603531061,0.07973387658069915,18.0,23.0,5.0,0.06177615130800488
SR,SVR_RBF,rheology_enhanced,Alg_fraction_x_HA_fraction,-0.002333625947281164,0.02043285826368347,0.002333625947281164,0.029470896641068424,0.0022693081234096283,0.02899253999009824,0.0,0.0,0.09976890686048587,23.0,21.0,2.0,0.049884453430242934
SR,SVR_RBF,rheology_enhanced,Alg_mg_ml,0.0010892634381861033,0.018762011214725857,0.0010892634381861033,0.026237721929993227,0.0009287827964601473,0.017130301426621336,0.0010892634381861033,0.0032209387843969007,0.08882352197649052,22.0,22.0,0.0,0.04602223038044371
Qm,SVR_RBF,engineered,P_over_TP,0.6050796453117393,0.08173697424793096,0.6050796453117393,0.31968845852748573,0.002522949940473862,0.21741205551028295,0.6050796453117393,1.0,1.0,1.0,1.0,0.0,1.0
Qm,SVR_RBF,engineered,TP_pct_wv,0.2851249564115397,0.0398300960834529,0.2851249564115397,0.15997184390722785,0.0007041100847118454,0.13311207732662683,0.2851249564115397,0.47121888601068745,0.5003991843936837,3.0,2.0,1.0,0.48580903520218555
Qm,SVR_RBF,engineered,TP,0.2851249564115398,0.03983009608345289,0.2851249564115398,0.15554266734980765,-0.0002076391206202094,0.12891215970956918,0.2851249564115398,0.4712188860106876,0.4865445192055146,2.0,3.0,1.0,0.47888170260810115
Qm,SVR_RBF,engineered,Alg_mg_ml,0.1782494444378526,0.029621745445019783,0.1782494444378526,0.08190222862654506,-0.0028038057913402957,0.0389924983451442,0.1782494444378526,0.2945883997568912,0.25619388639738266,4.0,6.0,2.0,0.27539114307713697
Qm,SVR_RBF,engineered,Alg_HA_ratio_safe,0.15482584880855912,0.02731915365324019,0.15482584880855912,0.07620842345483726,0.0019510376623487675,0.07266676200603217,0.15482584880855912,0.25587680895924414,0.23838340553756687,6.0,9.0,3.0,0.2471301072484055
Qm,SVR_RBF,engineered,HF_x_P,0.1379367163465305,0.024932185563183107,0.1379367163465305,0.08440521735293849,0.0014913167170457404,0.04392228420298772,0.1379367163465305,0.22796456204615015,0.2640233486742582,9.0,5.0,4.0,0.2459939553602042
Qm,SVR_RBF,engineered,Alg_x_HA,0.1416043583365349,0.02470235314793984,0.1416043583365349,0.07806154881279583,-0.0032391795172124218,0.05971033017039078,0.1416043583365349,0.23402598225491422,0.24418006571883907,8.0,7.0,1.0,0.23910302398687666
Qm,SVR_RBF,engineered,Alg_fraction_x_HA_fraction,0.1144743715808666,0.044266665043663764,0.1144743715808666,0.08812637747887168,0.0013397740624885523,0.05327456455815611,0.1144743715808666,0.18918893151973237,0.27566330634765435,12.0,4.0,8.0,0.23242611893369336
Qm,SVR_RBF,engineered,P_over_HA,0.13123164822143324,0.02757613802197044,0.13123164822143324,0.07658606977034607,-0.0020770699516361887,0.042773330758696215,0.13123164822143324,0.21688326361370527,0.23956470034329205,10.0,8.0,2.0,0.22822398197849866
Qm,SVR_RBF,engineered,Alg_x_P,0.15308672075822083,0.026517406244445825,0.15308672075822083,0.06460512357183373,-0.0029330529490951716,0.06023388719053525,0.15308672075822083,0.25300259551674387,0.2020877571539831,7.0,11.0,4.0,0.22754517633536347
Qm,SVR_RBF,engineered,P_over_Alg,0.17504439318959822,0.024133902142425983,0.17504439318959822,0.05284697335329437,0.0023496290198524866,0.08856712604354078,0.17504439318959822,0.28929149170009627,0.16530772989651352,5.0,13.0,8.0,0.2272996107983049
Qm,SVR_RBF,engineered,Pressure_kPa,0.11713359766078277,0.027978289483907383,0.11713359766078277,0.07315061762518008,-0.0030449506470315384,0.04563563216916168,0.11713359766078277,0.19358376796898383,0.22881845019403738,11.0,10.0,1.0,0.2112011090815106
Qm,SVR_RBF,engineered,HA_mg_ml,0.09571655605106683,0.023036822808106806,0.09571655605106683,0.057395850886028346,-8.022236876092798e-05,0.03521364027990944,0.09571655605106683,0.15818835882630508,0.17953682516534655,15.0,12.0,3.0,0.16886259199582582
Qm,SVR_RBF,engineered,Alg_fraction_feature,0.09981365121743138,0.01735721732508568,0.09981365121743138,0.043859740649823876,0.0038599480994918264,0.02352223531849889,0.09981365121743138,0.16495952556131188,0.13719525832069712,13.0,14.0,1.0,0.1510773919410045
Qm,SVR_RBF,engineered,HF,0.09981365121743131,0.01735721732508564,0.09981365121743131,0.042927282175537394,0.002065602836868595,0.024152106857155964,0.09981365121743131,0.16495952556131177,0.13427848591489472,14.0,15.0,1.0,0.14961900573810324
Qm,SVR_RBF,engineered,TP_x_P,0.05931188520499343,0.01333036902655662,0.05931188520499343,0.027696823798844555,0.0014595551619797642,0.025109575406886138,0.05931188520499343,0.09802326960517027,0.08663692122768103,16.0,16.0,0.0,0.09233009541642564
Qm,SVR_RBF,engineered,HA_x_P,0.0537241460029559,0.012338202365314493,0.0537241460029559,0.02083928982858385,-0.003358003239564769,0.016186162232173874,0.0537241460029559,0.08878855274544398,0.06518624389685986,17.0,17.0,0.0,0.07698739832115192
AF,XGBoost,angle_engineered,Angle_deg,0.2244347522791847,0.015717023580047142,0.2244347522791847,0.1692791795358062,-3.453654538280541e-09,0.10486777890889198,0.2244347522791847,1.0,1.0,1.0,1.0,0.0,1.0
AF,XGBoost,angle_engineered,TP_x_Angle,0.033006905917795135,0.005433168863196877,0.033006905917795135,0.049014175795794764,5.969519014520364e-09,0.01833692276459253,0.033006905917795135,0.14706682268500168,0.28954639271173455,2.0,2.0,0.0,0.21830660769836813
AF,XGBoost,angle_engineered,P_x_Angle,0.017480570540312115,0.0033380309198280393,0.017480570540312115,0.02218786421387146,5.419779991698108e-09,0.016496531143091697,0.017480570540312115,0.07788709352180553,0.13107261196985096,4.0,4.0,0.0,0.10447985274582824
AF,XGBoost,angle_engineered,Angle_rad,0.012689909476807742,0.0033024295093559072,0.012689909476807742,0.024799538659863174,-1.3711137884786506e-09,0.015990100591015882,0.012689909476807742,0.05654164227214768,0.14650082028911024,6.0,3.0,3.0,0.10152123128062895
AF,XGBoost,angle_engineered,Pressure_kPa,0.021046498394783168,0.0039669354887242846,0.021046498394783168,0.017170037783216675,-2.878045468612811e-09,0.013589309513128912,0.021046498394783168,0.09377557700423535,0.10143029893162284,3.0,5.0,2.0,0.0976029379679291
AF,XGBoost,angle_engineered,P_over_Alg,0.01590205224851438,0.004026468410141039,0.01590205224851438,0.01113540863540643,-6.014791650854612e-10,0.014685410965103896,0.01590205224851438,0.0708537875129654,0.06578132447204502,5.0,7.0,2.0,0.0683175559925052
