Split,R2,MAE,RMSE,Spearman,Target,Target_column,Feature_set,Model
69,-2.592813225182004,0.06036133403135013,0.0784219231988434,-0.11904761904761905,Pr,Pr_mean,core,SVR_RBF
70,0.623976102854954,0.061392660958094494,0.06274228382208832,1.0,Pr,Pr_mean,core,SVR_RBF
71,-0.5914860827648754,0.06653902255241075,0.09542985051927548,0.4285714285714286,Pr,Pr_mean,core,SVR_RBF
72,-8.215205085315702e-06,0.05116106619817748,0.06169696626293546,0.523809523809524,Pr,Pr_mean,core,SVR_RBF
73,0.46424074694534645,0.08947313471112413,0.10840299588428128,0.4523809523809524,Pr,Pr_mean,core,SVR_RBF
74,0.4609835820971997,0.06386269934505213,0.0712634403840827,0.7380952380952381,Pr,Pr_mean,core,SVR_RBF
75,0.11487268873533729,0.06198563290998861,0.06922964039102278,-0.023809523809523815,Pr,Pr_mean,core,SVR_RBF
76,-0.35174225727838926,0.07309925925974732,0.10753273478868217,0.19047619047619052,Pr,Pr_mean,core,SVR_RBF
77,0.18754775836712767,0.08664006474670835,0.1238666923356573,0.6190476190476191,Pr,Pr_mean,core,SVR_RBF
78,-1.7140065977294143,0.04339037188075022,0.0629426018769125,0.4047619047619048,Pr,Pr_mean,core,SVR_RBF
79,-0.9106038403887555,0.09227284648850306,0.10361775080103122,0.2142857142857143,Pr,Pr_mean,core,SVR_RBF
80,0.4224878595823476,0.048942015007526915,0.05372653936571142,0.5952380952380953,Pr,Pr_mean,core,SVR_RBF
81,0.6244244248906428,0.05398745439770024,0.06498222899261212,0.8333333333333335,Pr,Pr_mean,core,SVR_RBF
82,0.2653249859572838,0.08301899345025533,0.11909078118673701,0.6190476190476191,Pr,Pr_mean,core,SVR_RBF
83,-3.2537620708181665,0.08174267587606793,0.10346781734771085,0.3333333333333334,Pr,Pr_mean,core,SVR_RBF
84,-0.4005164388474578,0.04944634866136052,0.07899312287159826,0.4047619047619048,Pr,Pr_mean,core,SVR_RBF
85,0.2046544215980569,0.06213263518408853,0.0725533921374684,0.19047619047619052,Pr,Pr_mean,core,SVR_RBF
86,-0.703697863623205,0.06774859362719665,0.08089159999302588,0.4761904761904762,Pr,Pr_mean,core,SVR_RBF
