Split,R2,MAE,RMSE,Spearman,Target,Target_column,Feature_set,Model
43,-0.1834686398896268,0.06614320971353406,0.08980795189029916,0.4523809523809524,Pr,Pr_mean,core,SVR_RBF
44,-0.775566356057664,0.06308180352669145,0.07543500833264348,0.38095238095238104,Pr,Pr_mean,core,SVR_RBF
45,-0.9674297570426935,0.08636524296519013,0.11134522268155261,0.023809523809523815,Pr,Pr_mean,core,SVR_RBF
46,-0.21711454750819925,0.0641036192941796,0.08353262047517544,0.04761904761904763,Pr,Pr_mean,core,SVR_RBF
47,-0.047470180942254414,0.06977474388812216,0.08041775569021539,0.8571428571428572,Pr,Pr_mean,core,SVR_RBF
48,-9.368275790013351,0.11788932919640678,0.13240090742761504,-0.7142857142857144,Pr,Pr_mean,core,SVR_RBF
49,0.46337821271436264,0.06327363068003354,0.07075980205080169,0.6190476190476191,Pr,Pr_mean,core,SVR_RBF
50,-0.07428948751159692,0.11018233459156858,0.15207045761931048,0.523809523809524,Pr,Pr_mean,core,SVR_RBF
51,0.2192116956514687,0.0343114224948327,0.040624407430111344,0.7380952380952381,Pr,Pr_mean,core,SVR_RBF
52,-0.06001818508964374,0.09308013371821404,0.1372372830428741,0.523809523809524,Pr,Pr_mean,core,SVR_RBF
53,-0.40720218056599844,0.10796431957077549,0.1375569777708373,0.14285714285714288,Pr,Pr_mean,core,SVR_RBF
54,0.2378551382983457,0.05200012998632081,0.06137188279673447,0.4523809523809524,Pr,Pr_mean,core,SVR_RBF
55,-1.2895807249727533,0.06519238907138479,0.09391810125294017,0.15569141404872366,Pr,Pr_mean,core,SVR_RBF
56,-0.049237777737924704,0.059425196201356514,0.08543086330234465,0.2380952380952381,Pr,Pr_mean,core,SVR_RBF
57,0.04582151121413647,0.06103251458478712,0.06601301575633514,0.5476190476190477,Pr,Pr_mean,core,SVR_RBF
58,0.4904371644158694,0.06692878180010058,0.09882123451638143,0.880952380952381,Pr,Pr_mean,core,SVR_RBF
59,0.09653543877323978,0.048469521738863125,0.05956796914101012,0.6666666666666669,Pr,Pr_mean,core,SVR_RBF
60,0.11068363483171051,0.07027467624787252,0.0943683095966848,0.30952380952380953,Pr,Pr_mean,core,SVR_RBF
61,-0.4716135434915605,0.07245645961416901,0.1012465754809254,0.5952380952380953,Pr,Pr_mean,core,SVR_RBF
62,-1.0227405056602517,0.05617078842493353,0.060807384740889286,0.7425282823862205,Pr,Pr_mean,core,SVR_RBF
63,0.3118160326276236,0.042039872692493804,0.053084284872248595,0.4047619047619048,Pr,Pr_mean,core,SVR_RBF
64,-0.9160739198687975,0.07058067077229437,0.08314562347403874,0.4761904761904762,Pr,Pr_mean,core,SVR_RBF
65,0.2324315414072855,0.10484896227482782,0.1406529824736751,0.5714285714285715,Pr,Pr_mean,core,SVR_RBF
66,-0.03527324835162737,0.05998685339719863,0.08557909661331732,0.09581010095306072,Pr,Pr_mean,core,SVR_RBF
67,0.33068972837650557,0.053139499801618015,0.060664672821352815,0.6107893935757621,Pr,Pr_mean,core,SVR_RBF
68,0.13033859170181683,0.085763047458439,0.12783167784990876,0.3333333333333334,Pr,Pr_mean,core,SVR_RBF
