Run,Alg_mg_ml,HA_mg_ml,Pressure_kPa,Angle_deg,AF_mean,AF_std,Alg_pct_wv,HA_pct_wv,Total_polymer_mg_ml,Total_polymer_pct_wv,HA_fraction,Alg_fraction,Alg_HA_ratio,Formulation_label,TP,TP_pct_wv,HF,Alg_fraction_feature,Alg_HA_ratio_safe,P_over_TP,P_over_Alg,P_over_HA,Alg_x_P,HA_x_P,TP_x_P,HF_x_P,Alg_x_HA,Alg_fraction_x_HA_fraction,Angle_rad,sin_angle,cos_angle,P_x_Angle,Alg_x_Angle,HA_x_Angle,TP_x_Angle,Eta0_mean_Pa_s,Eta0_std_Pa_s,Cross_m_mean,Cross_m_std,Cross_k_mean_s,Cross_k_std_s,G_prime_mean_Pa,G_prime_std_Pa,G_double_prime_mean_Pa,G_double_prime_std_Pa,Yield_stress_mean_Pa,Yield_stress_std_Pa
11,10,80,65,120,1.17573,0.0194448,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.7222222222222222,6.5,0.8125,650,5200,5850,57.77777777777777,800,0.09876543209876543,2.0943951023931953,0.8660254037844387,-0.4999999999999998,7800,1200,9600,10800,211.54033333333334,26.232762765925603,0.778182,0.019232961264454344,0.311391,0.028291408890332784,261.3093333333333,57.265855667520874,339.64799999999997,75.10930613445981,570.3046666666667,39.00330691535446
12,10,80,70,120,1.28156,0.0144789,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.7777777777777778,7.0,0.875,700,5600,6300,62.22222222222222,800,0.09876543209876543,2.0943951023931953,0.8660254037844387,-0.4999999999999998,8400,1200,9600,10800,211.54033333333334,26.232762765925603,0.778182,0.019232961264454344,0.311391,0.028291408890332784,261.3093333333333,57.265855667520874,339.64799999999997,75.10930613445981,570.3046666666667,39.00330691535446
13,20,80,75,60,2.04975,0.016115,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,0.75,3.75,0.9375,1500,6000,7500,60.0,1600,0.16000000000000003,1.0471975511965976,0.8660254037844386,0.5000000000000001,4500,1200,4800,6000,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333
14,20,80,85,60,1.87831,0.0167196,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,0.85,4.25,1.0625,1700,6800,8500,68.0,1600,0.16000000000000003,1.0471975511965976,0.8660254037844386,0.5000000000000001,5100,1200,4800,6000,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333
15,20,80,95,60,1.74885,0.0334194,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,0.95,4.75,1.1875,1900,7600,9500,76.0,1600,0.16000000000000003,1.0471975511965976,0.8660254037844386,0.5000000000000001,5700,1200,4800,6000,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333
16,20,80,85,90,1.4926,0.0162292,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,0.85,4.25,1.0625,1700,6800,8500,68.0,1600,0.16000000000000003,1.5707963267948966,1.0,6.123233995736766e-17,7650,1800,7200,9000,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333
17,20,80,95,90,1.39505,0.0125334,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,0.95,4.75,1.1875,1900,7600,9500,76.0,1600,0.16000000000000003,1.5707963267948966,1.0,6.123233995736766e-17,8550,1800,7200,9000,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333
18,20,80,105,90,1.44103,0.00846958,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,1.05,5.25,1.3125,2100,8400,10500,84.0,1600,0.16000000000000003,1.5707963267948966,1.0,6.123233995736766e-17,9450,1800,7200,9000,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333
19,20,80,115,90,1.42223,0.00551604,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,1.15,5.75,1.4375,2300,9200,11500,92.0,1600,0.16000000000000003,1.5707963267948966,1.0,6.123233995736766e-17,10350,1800,7200,9000,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333
20,20,80,75,120,1.2125,0.0185018,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,0.75,3.75,0.9375,1500,6000,7500,60.0,1600,0.16000000000000003,2.0943951023931953,0.8660254037844387,-0.4999999999999998,9000,2400,9600,12000,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333
21,20,80,85,120,1.19111,0.0182752,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,0.85,4.25,1.0625,1700,6800,8500,68.0,1600,0.16000000000000003,2.0943951023931953,0.8660254037844387,-0.4999999999999998,10200,2400,9600,12000,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333
