Run,Alg_mg_ml,HA_mg_ml,Pressure_kPa,Angle_deg,AF_mean,AF_std,Alg_pct_wv,HA_pct_wv,Total_polymer_mg_ml,Total_polymer_pct_wv,HA_fraction,Alg_fraction,Alg_HA_ratio,Formulation_label,TP,TP_pct_wv,HF,Alg_fraction_feature,Alg_HA_ratio_safe,P_over_TP,P_over_Alg,P_over_HA,Alg_x_P,HA_x_P,TP_x_P,HF_x_P,Alg_x_HA,Alg_fraction_x_HA_fraction,Angle_rad,sin_angle,cos_angle,P_x_Angle,Alg_x_Angle,HA_x_Angle,TP_x_Angle
65,60,20,65,90,1.4624,0.0374672,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,0.8125,1.0833333333333333,3.25,3900,1300,5200,16.25,1200,0.1875,1.5707963267948966,1.0,6.123233995736766e-17,5850,5400,1800,7200
66,60,20,70,90,1.62994,0.0274714,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,0.875,1.1666666666666667,3.5,4200,1400,5600,17.5,1200,0.1875,1.5707963267948966,1.0,6.123233995736766e-17,6300,5400,1800,7200
67,60,20,50,120,1.09488,0.0162623,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,0.625,0.8333333333333334,2.5,3000,1000,4000,12.5,1200,0.1875,2.0943951023931953,0.8660254037844387,-0.4999999999999998,6000,7200,2400,9600
68,60,20,55,120,1.21931,0.0365402,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,0.6875,0.9166666666666666,2.75,3300,1100,4400,13.75,1200,0.1875,2.0943951023931953,0.8660254037844387,-0.4999999999999998,6600,7200,2400,9600
69,60,20,65,120,1.22121,0.00902439,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,0.8125,1.0833333333333333,3.25,3900,1300,5200,16.25,1200,0.1875,2.0943951023931953,0.8660254037844387,-0.4999999999999998,7800,7200,2400,9600
70,60,20,70,120,1.27114,0.0290935,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,0.875,1.1666666666666667,3.5,4200,1400,5600,17.5,1200,0.1875,2.0943951023931953,0.8660254037844387,-0.4999999999999998,8400,7200,2400,9600
71,60,40,95,60,2.36855,0.123116,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,0.95,1.5833333333333333,2.375,5700,3800,9500,38.0,2400,0.24,1.0471975511965976,0.8660254037844386,0.5000000000000001,5700,3600,2400,6000
72,60,40,100,60,1.56292,0.0428463,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,1.0,1.6666666666666667,2.5,6000,4000,10000,40.0,2400,0.24,1.0471975511965976,0.8660254037844386,0.5000000000000001,6000,3600,2400,6000
73,60,40,105,60,1.7423,0.0698619,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,1.05,1.75,2.625,6300,4200,10500,42.0,2400,0.24,1.0471975511965976,0.8660254037844386,0.5000000000000001,6300,3600,2400,6000
74,60,40,90,90,1.41795,0.0411236,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,0.9,1.5,2.25,5400,3600,9000,36.0,2400,0.24,1.5707963267948966,1.0,6.123233995736766e-17,8100,5400,3600,9000
75,60,40,95,90,1.31523,0.00945609,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,0.95,1.5833333333333333,2.375,5700,3800,9500,38.0,2400,0.24,1.5707963267948966,1.0,6.123233995736766e-17,8550,5400,3600,9000
