Run,Alg_mg_ml,HA_mg_ml,Pressure_kPa,Pr_mean,Pr_std,Qm_mean_mg_s,Qm_std_mg_s,SR_mean,SR_std,Alg_pct_wv,HA_pct_wv,Total_polymer_mg_ml,Total_polymer_pct_wv,HA_fraction,Alg_fraction,Alg_HA_ratio,Formulation_label,TP,TP_pct_wv,HF,Alg_fraction_feature,Alg_HA_ratio_safe,P_over_TP,P_over_Alg,P_over_HA,Alg_x_P,HA_x_P,TP_x_P,HF_x_P,Alg_x_HA,Alg_fraction_x_HA_fraction
34,60,40,85,1.42,0.309,0.506,0.078,5.633,0.427,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,0.85,1.4166666666666667,2.125,5100,3400,8500,34.0,2400,0.24
35,60,40,90,1.194,0.116,0.665,0.008,6.376,0.475,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,0.9,1.5,2.25,5400,3600,9000,36.0,2400,0.24
36,60,40,95,1.097,0.111,0.871,0.07,6.424,0.229,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,0.95,1.5833333333333333,2.375,5700,3800,9500,38.0,2400,0.24
37,60,40,100,1.232,0.153,1.084,0.089,6.955,0.077,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,1.0,1.6666666666666667,2.5,6000,4000,10000,40.0,2400,0.24
38,60,40,105,1.177,0.095,1.076,0.055,7.023,0.173,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,1.05,1.75,2.625,6300,4200,10500,42.0,2400,0.24
39,60,60,140,0.978,0.049,0.644,0.055,4.431,1.127,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.1666666666666667,2.3333333333333335,2.3333333333333335,8400,8400,16800,70.0,3600,0.25
40,60,60,145,0.998,0.055,0.689,0.048,3.885,1.844,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.2083333333333333,2.4166666666666665,2.4166666666666665,8700,8700,17400,72.5,3600,0.25
41,60,60,150,0.986,0.045,0.768,0.105,4.816,0.948,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.25,2.5,2.5,9000,9000,18000,75.0,3600,0.25
42,60,60,155,0.966,0.046,0.918,0.075,5.536,0.247,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.2916666666666667,2.5833333333333335,2.5833333333333335,9300,9300,18600,77.5,3600,0.25
43,60,60,160,1.017,0.032,1.027,0.057,4.683,0.258,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.3333333333333333,2.6666666666666665,2.6666666666666665,9600,9600,19200,80.0,3600,0.25
